time_start,time_end,estimated,amount_usd,service,tag_aws_parallelcluster_clustername,tag_aws_parallelcluster_clustername_value
2026-04-01,2026-05-01,False,0.000709875,Amazon DynamoDB,aws-parallelcluster-clustername$majors-cluster,majors-cluster
2026-04-01,2026-05-01,False,0.001197375,Amazon DynamoDB,aws-parallelcluster-clustername$mk-cluster,mk-cluster
2026-04-01,2026-05-01,False,0.002653125,Amazon DynamoDB,aws-parallelcluster-clustername$mk-gotime,mk-gotime
2026-04-01,2026-05-01,False,2.5e-05,Amazon DynamoDB,aws-parallelcluster-clustername$mk-gotime2,mk-gotime2
2026-04-01,2026-05-01,False,0.0047876875,Amazon DynamoDB,aws-parallelcluster-clustername$mk-gotime3,mk-gotime3
2026-04-01,2026-05-01,False,0.00148675,Amazon DynamoDB,aws-parallelcluster-clustername$mk-majors-cluster,mk-majors-cluster
2026-04-01,2026-05-01,False,0.001225375,Amazon DynamoDB,aws-parallelcluster-clustername$mk-test-202604-cluster,mk-test-202604-cluster
2026-04-01,2026-05-01,False,0.000320875,Amazon DynamoDB,aws-parallelcluster-clustername$mk426dec215,mk426dec215
2026-04-01,2026-05-01,False,0.000328375,Amazon DynamoDB,aws-parallelcluster-clustername$mkdec219,mkdec219
2026-04-01,2026-05-01,False,0.00198525,Amazon DynamoDB,aws-parallelcluster-clustername$test-del-me,test-del-me
2026-04-01,2026-05-01,False,0.4761489983,Amazon EC2 Container Registry (ECR),aws-parallelcluster-clustername$,
2026-04-01,2026-05-01,False,496.9024657122,EC2 - Other,aws-parallelcluster-clustername$,
2026-04-01,2026-05-01,False,2.7641490277,EC2 - Other,aws-parallelcluster-clustername$and-again,and-again
2026-04-01,2026-05-01,False,1.1543013631,EC2 - Other,aws-parallelcluster-clustername$day-ssm-e2e-20260412103613,day-ssm-e2e-20260412103613
2026-04-01,2026-05-01,False,33.680000016,EC2 - Other,aws-parallelcluster-clustername$day-test-uswest2d,day-test-uswest2d
2026-04-01,2026-05-01,False,33.680000016,EC2 - Other,aws-parallelcluster-clustername$daylily-1773059211,daylily-1773059211
2026-04-01,2026-05-01,False,1.5322169349,EC2 - Other,aws-parallelcluster-clustername$dec215-0426,dec215-0426
2026-04-01,2026-05-01,False,3.3546384529,EC2 - Other,aws-parallelcluster-clustername$dec219-cluster,dec219-cluster
2026-04-01,2026-05-01,False,33.680000016,EC2 - Other,aws-parallelcluster-clustername$ifx-go,ifx-go
2026-04-01,2026-05-01,False,16.1767584902,EC2 - Other,aws-parallelcluster-clustername$inflextion-g24,inflextion-g24
2026-04-01,2026-05-01,False,8.5388126587,EC2 - Other,aws-parallelcluster-clustername$lsmc-20260413,lsmc-20260413
2026-04-01,2026-05-01,False,2.2257307142,EC2 - Other,aws-parallelcluster-clustername$majors-cluster,majors-cluster
2026-04-01,2026-05-01,False,3.7278275626,EC2 - Other,aws-parallelcluster-clustername$mk-cluster,mk-cluster
2026-04-01,2026-05-01,False,8.2574216003,EC2 - Other,aws-parallelcluster-clustername$mk-gotime,mk-gotime
2026-04-01,2026-05-01,False,0.0832865389,EC2 - Other,aws-parallelcluster-clustername$mk-gotime2,mk-gotime2
2026-04-01,2026-05-01,False,12.3149799095,EC2 - Other,aws-parallelcluster-clustername$mk-gotime3,mk-gotime3
2026-04-01,2026-05-01,False,4.6259024631,EC2 - Other,aws-parallelcluster-clustername$mk-majors-cluster,mk-majors-cluster
2026-04-01,2026-05-01,False,3.8137899955,EC2 - Other,aws-parallelcluster-clustername$mk-test-202604-cluster,mk-test-202604-cluster
2026-04-01,2026-05-01,False,1.0013924308,EC2 - Other,aws-parallelcluster-clustername$mk426dec215,mk426dec215
