observation_id	experiment	analysis_id	au	runtime_au	plot_label	ilmn_measured_token	ont_measured_token	roi	class	tp	fn	fp	precision	recall	fscore	source_path
OBS01	E2	prod-cand-1703-hg002-bjuice-v2-seqkitfix-20260815T080300Z	p5xp5	HG002-5r2pnnjbw114ye	E2:p5xp5	0.11	0.57	giabHC	DEL_50	55739.0	210039.0	7368.0	0.8832459156670417	0.2097201423744629	0.33895738632044636	results/day/hg38/HG002-5r2pnnjbw114ye/align/sentmm2ont/na/snv/sentdhiomr2/concordance/_giabHC/snv_HG002-5r2pnnjbw114ye_giabHC_concordance.mqc.tsv
OBS02	E2	prod-cand-1703-hg002-bjuice-v2-seqkitfix-20260815T080300Z	1x1	HG002-dhcejhqjtfa8my	E2:1x1	0.27	1.16	giabHC	SNP	1213046.5	1609429.0	7147.0	0.9941427322797572	0.42978105567258246	0.6001216028321884	results/day/hg38/HG002-dhcejhqjtfa8my/align/sentmm2ont/na/snv/sentdhiomr2/concordance/_giabHC/snv_HG002-dhcejhqjtfa8my_giabHC_concordance.mqc.tsv
OBS02	E2	prod-cand-1703-hg002-bjuice-v2-seqkitfix-20260815T080300Z	1x1	HG002-dhcejhqjtfa8my	E2:1x1	0.27	1.16	giabHC	INS_50	100204.0	158275.0	8877.0	0.9186201079931428	0.3876678569632349	0.5452388725650235	results/day/hg38/HG002-dhcejhqjtfa8my/align/sentmm2ont/na/snv/sentdhiomr2/concordance/_giabHC/snv_HG002-dhcejhqjtfa8my_giabHC_concordance.mqc.tsv
OBS02	E2	prod-cand-1703-hg002-bjuice-v2-seqkitfix-20260815T080300Z	1x1	HG002-dhcejhqjtfa8my	E2:1x1	0.27	1.16	giabHC	DEL_50	107581.0	158894.0	10962.0	0.9075272264072952	0.4037189229758889	0.5588362102551049	results/day/hg38/HG002-dhcejhqjtfa8my/align/sentmm2ont/na/snv/sentdhiomr2/concordance/_giabHC/snv_HG002-dhcejhqjtfa8my_giabHC_concordance.mqc.tsv
OBS03	E2	prod-cand-1703-hg002-bjuice-v2-seqkitfix-20260815T080300Z	3x3	HG002-pw12ff0qe3akkp	E2:3x3	1.01	2.96	giabHC	SNP	2435892.0	386548.5	9615.5	0.9960680962949409	0.863044588539599	0.9247972834963443	results/day/hg38/HG002-pw12ff0qe3akkp/align/sentmm2ont/na/snv/sentdhiomr2/concordance/_giabHC/snv_HG002-pw12ff0qe3akkp_giabHC_concordance.mqc.tsv
OBS03	E2	prod-cand-1703-hg002-bjuice-v2-seqkitfix-20260815T080300Z	3x3	HG002-pw12ff0qe3akkp	E2:3x3	1.01	2.96	giabHC	INS_50	202002.0	56706.0	11269.0	0.9471611236408138	0.7808107982745025	0.855978761766943	results/day/hg38/HG002-pw12ff0qe3akkp/align/sentmm2ont/na/snv/sentdhiomr2/concordance/_giabHC/snv_HG002-pw12ff0qe3akkp_giabHC_concordance.mqc.tsv
OBS03	E2	prod-cand-1703-hg002-bjuice-v2-seqkitfix-20260815T080300Z	3x3	HG002-pw12ff0qe3akkp	E2:3x3	1.01	2.96	giabHC	DEL_50	210642.0	55632.0	10047.0	0.9544743960958634	0.7910723540413258	0.8651252764583757	results/day/hg38/HG002-pw12ff0qe3akkp/align/sentmm2ont/na/snv/sentdhiomr2/concordance/_giabHC/snv_HG002-pw12ff0qe3akkp_giabHC_concordance.mqc.tsv
OBS04	E2	prod-cand-1703-hg002-bjuice-v2-seqkitfix-20260815T080300Z	5x5	HG002-qp0pfqh42zyaqs	E2:5x5	1.82	5.17	giabHC	SNP	2739841.0	82441.5	6915.5	0.9974823032183595	0.9707890687767791	0.9839546823069474	results/day/hg38/HG002-qp0pfqh42zyaqs/align/sentmm2ont/na/snv/sentdhiomr2/concordance/_giabHC/snv_HG002-qp0pfqh42zyaqs_giabHC_concordance.mqc.tsv
OBS04	E2	prod-cand-1703-hg002-bjuice-v2-seqkitfix-20260815T080300Z	5x5	HG002-qp0pfqh42zyaqs	E2:5x5	1.82	5.17	giabHC	INS_50	236359.0	23429.0	9729.0	0.9604653619843309	0.9098149260165982	0.9344542931469373	results/day/hg38/HG002-qp0pfqh42zyaqs/align/sentmm2ont/na/snv/sentdhiomr2/concordance/_giabHC/snv_HG002-qp0pfqh42zyaqs_giabHC_concordance.mqc.tsv
OBS04	E2	prod-cand-1703-hg002-bjuice-v2-seqkitfix-20260815T080300Z	5x5	HG002-qp0pfqh42zyaqs	E2:5x5	1.82	5.17	giabHC	DEL_50	243083.0	22182.0	7140.0	0.9714654528160881	0.9163779616609805	0.9431179775280899	results/day/hg38/HG002-qp0pfqh42zyaqs/align/sentmm2ont/na/snv/sentdhiomr2/concordance/_giabHC/snv_HG002-qp0pfqh42zyaqs_giabHC_concordance.mqc.tsv
OBS05	E2	prod-cand-1703-hg002-bjuice-v2-seqkitfix-20260815T080300Z	10x5	HG002-tb1jdkbzdpwenh	E2:10x5	3.50	5.17	giabHC	SNP	2807870.5	14312.0	4883.5	0.9982638012424834	0.9949287475207574	0.9965934842389085	results/day/hg38/HG002-tb1jdkbzdpwenh/align/sentmm2ont/na/snv/sentdhiomr2/concordance/_giabHC/snv_HG002-tb1jdkbzdpwenh_giabHC_concordance.mqc.tsv
OBS05	E2	prod-cand-1703-hg002-bjuice-v2-seqkitfix-20260815T080300Z	10x5	HG002-tb1jdkbzdpwenh	E2:10x5	3.50	5.17	giabHC	INS_50	255007.0	5606.0	4880.0	0.981222608287448	0.9784891774393449	0.9798539865513929	results/day/hg38/HG002-tb1jdkbzdpwenh/align/sentmm2ont/na/snv/sentdhiomr2/concordance/_giabHC/snv_HG002-tb1jdkbzdpwenh_giabHC_concordance.mqc.tsv
OBS05	E2	prod-cand-1703-hg002-bjuice-v2-seqkitfix-20260815T080300Z	10x5	HG002-tb1jdkbzdpwenh	E2:10x5	3.50	5.17	giabHC	DEL_50	259608.0	4882.0	2839.0	0.9891825778157114	0.9815418352300654	0.9853473944703067	results/day/hg38/HG002-tb1jdkbzdpwenh/align/sentmm2ont/na/snv/sentdhiomr2/concordance/_giabHC/snv_HG002-tb1jdkbzdpwenh_giabHC_concordance.mqc.tsv
OBS06	E2	prod-cand-1703-hg002-bjuice-v2-seqkitfix-20260815T080300Z	15x5	HG002-56db7xrgpanwkk	E2:15x5	4.96	5.17	giabHC	SNP	2815918.5	6238.0	3593.5	0.9987254886661238	0.9977896335656793	0.9982573417775256	results/day/hg38/HG002-56db7xrgpanwkk/align/sentmm2ont/na/snv/sentdhiomr2/concordance/_giabHC/snv_HG002-56db7xrgpanwkk_giabHC_concordance.mqc.tsv
OBS06	E2	prod-cand-1703-hg002-bjuice-v2-seqkitfix-20260815T080300Z	15x5	HG002-56db7xrgpanwkk	E2:15x5	4.96	5.17	giabHC	INS_50	258634.0	2064.0	2459.0	0.9905818999360381	0.9920827931169399	0.9913317784323609	results/day/hg38/HG002-56db7xrgpanwkk/align/sentmm2ont/na/snv/sentdhiomr2/concordance/_giabHC/snv_HG002-56db7xrgpanwkk_giabHC_concordance.mqc.tsv
OBS06	E2	prod-cand-1703-hg002-bjuice-v2-seqkitfix-20260815T080300Z	15x5	HG002-56db7xrgpanwkk	E2:15x5	4.96	5.17	giabHC	DEL_50	262769.0	1670.0	1271.0	0.9951863354037267	0.9936847439296019	0.9944349728182199	results/day/hg38/HG002-56db7xrgpanwkk/align/sentmm2ont/na/snv/sentdhiomr2/concordance/_giabHC/snv_HG002-56db7xrgpanwkk_giabHC_concordance.mqc.tsv
OBS07	E2	prod-cand-1703-hg002-bjuice-v2-seqkitfix-20260815T080300Z	15x10	HG002-p2tc9mz7wbv628	E2:15x10	5.47	10.05	giabHC	SNP	2818773.0	3387.5	2217.5	0.999213928582886	0.9987996784732831	0.999006760584645	results/day/hg38/HG002-p2tc9mz7wbv628/align/sentmm2ont/na/snv/sentdhiomr2/concordance/_giabHC/snv_HG002-p2tc9mz7wbv628_giabHC_concordance.mqc.tsv
OBS07	E2	prod-cand-1703-hg002-bjuice-v2-seqkitfix-20260815T080300Z	15x10	HG002-p2tc9mz7wbv628	E2:15x10	5.47	10.05	giabHC	INS_50	258768.0	1923.0	2355.0	0.9909812617042543	0.9926234507520397	0.991801676459428	results/day/hg38/HG002-p2tc9mz7wbv628/align/sentmm2ont/na/snv/sentdhiomr2/concordance/_giabHC/snv_HG002-p2tc9mz7wbv628_giabHC_concordance.mqc.tsv
OBS07	E2	prod-cand-1703-hg002-bjuice-v2-seqkitfix-20260815T080300Z	15x10	HG002-p2tc9mz7wbv628	E2:15x10	5.47	10.05	giabHC	DEL_50	262923.0	1524.0	1161.0	0.9956036715590494	0.9942370304824786	0.9949198817098713	results/day/hg38/HG002-p2tc9mz7wbv628/align/sentmm2ont/na/snv/sentdhiomr2/concordance/_giabHC/snv_HG002-p2tc9mz7wbv628_giabHC_concordance.mqc.tsv
