period_start,period_end,key,amount_usd,estimated
2026-02-20,2026-03-01,APS3-TimedStorage-ByteHrs,5.091871779,False
2026-02-20,2026-03-01,APS3-USE1-AWS-In-Bytes,0.0,False
2026-02-20,2026-03-01,APS3-USE2-AWS-In-Bytes,0.0,False
2026-02-20,2026-03-01,APS3-USW1-AWS-In-Bytes,0.0,False
2026-02-20,2026-03-01,APS3-USW2-AWS-In-Bytes,0.0,False
2026-02-20,2026-03-01,APS4-Catalog-Request,0.0,False
2026-02-20,2026-03-01,APS4-EC2-free-metering,0.0,False
2026-02-20,2026-03-01,APS4-ECR-free-metering,0.0,False
2026-02-20,2026-03-01,APS4-FreeEventsAnalyzed,0.0,False
2026-02-20,2026-03-01,APS4-Lambda-Standard-free-metering,0.0,False
2026-02-20,2026-03-01,APS4-OtherProduct:FreeFindingsIngestion-FreeTrial,0.0,False
2026-02-20,2026-03-01,APS4-Requests-Tier1,0.0,False
2026-02-20,2026-03-01,APS4-Requests-Tier8,0.00081,False
2026-02-20,2026-03-01,APS4-SecurityHubProduct:FreeFindingsIngestion,0.0,False
2026-02-20,2026-03-01,APS4-Tables-Requests-Tier1,9e-05,False
2026-02-20,2026-03-01,APS5-Catalog-Request,0.0,False
2026-02-20,2026-03-01,APS5-EC2-free-metering,0.0,False
2026-02-20,2026-03-01,APS5-ECR-free-metering,0.0,False
2026-02-20,2026-03-01,APS5-FreeEventsAnalyzed,0.0,False
2026-02-20,2026-03-01,APS5-Lambda-Standard-free-metering,0.0,False
2026-02-20,2026-03-01,APS5-OtherProduct:FreeFindingsIngestion-FreeTrial,0.0,False
2026-02-20,2026-03-01,APS5-Requests-Tier1,0.0,False
2026-02-20,2026-03-01,APS5-Requests-Tier8,0.00081,False
2026-02-20,2026-03-01,APS5-SecurityHubProduct:FreeFindingsIngestion,0.0,False
2026-02-20,2026-03-01,APS5-Tables-Requests-Tier1,9e-05,False
2026-02-20,2026-03-01,Aurora:StorageIOUsage,0.0303484,False
2026-02-20,2026-03-01,Aurora:StorageUsage,8.30458e-05,False
2026-02-20,2026-03-01,BoxUsage:t4g.micro,0.0040693296,False
2026-02-20,2026-03-01,CAN1-Catalog-Request,0.0,False
2026-02-20,2026-03-01,CAN1-EC2-free-metering,0.0,False
2026-02-20,2026-03-01,CAN1-ECR-free-metering,0.0,False
2026-02-20,2026-03-01,CAN1-FreeComplianceCheck,0.0,False
2026-02-20,2026-03-01,CAN1-FreeEventsAnalyzed,0.0,False
2026-02-20,2026-03-01,CAN1-Lambda-Standard-free-metering,0.0,False
2026-02-20,2026-03-01,CAN1-OtherProduct:FreeFindingsIngestion-FreeTrial,0.0,False
2026-02-20,2026-03-01,CAN1-Requests-Tier1,0.0,False
2026-02-20,2026-03-01,CAN1-Requests-Tier8,0.00081,False
2026-02-20,2026-03-01,CAN1-SecurityHubProduct:FreeFindingsIngestion,0.0,False
2026-02-20,2026-03-01,CAN1-Tables-Requests-Tier1,9.9e-05,False
2026-02-20,2026-03-01,DNS-Queries,0.0385332,False
2026-02-20,2026-03-01,DashboardsUsageHour-Basic,0.0,False
2026-02-20,2026-03-01,DataTransfer-In-Bytes,0.0,False
