arn,cluster_or_stack_present,console_url,created_at,details,id,kind,name,name_present,project_present,region,service,state,tag_count,tag_keys,tag_status,tags
arn:aws:ecr:us-west-2:108782052779:repository/dayhoff/aws3041,False,https://us-west-2.console.aws.amazon.com/ecr/repositories/private/108782052779/dayhoff%2Faws3041?region=us-west-2,1778545632.175,{'uri': '108782052779.dkr.ecr.us-west-2.amazonaws.com/dayhoff/aws3041'},dayhoff/aws3041,ecr_repository,dayhoff/aws3041,False,True,us-west-2,ECR,ACTIVE,9,"['CostCenter', 'Environment', 'Owner', 'Project', 'System', 'dayhoff-lock', 'dayhoff-user', 'lsmc-cost-center', 'lsmc-project']",missing_cluster_or_stack,"{'CostCenter': 'platform', 'Environment': 'aws3041', 'Owner': 'platform', 'Project': 'LSMC', 'System': 'dayhoff', 'dayhoff-lock': 'false', 'dayhoff-user': 'jmajor', 'lsmc-cost-center': 'platform', 'lsmc-project': 'dayhoff+us-west-2'}"
arn:aws:ecr:us-west-2:108782052779:repository/lsmc-bio/labcore,False,https://us-west-2.console.aws.amazon.com/ecr/repositories/private/108782052779/lsmc-bio%2Flabcore?region=us-west-2,1779300020.62,{'uri': '108782052779.dkr.ecr.us-west-2.amazonaws.com/lsmc-bio/labcore'},lsmc-bio/labcore,ecr_repository,lsmc-bio/labcore,False,False,us-west-2,ECR,ACTIVE,0,[],completely_untagged,{}
arn:aws:ecr:us-west-2:108782052779:repository/cdk-hnb659fds-container-assets-108782052779-us-west-2,False,https://us-west-2.console.aws.amazon.com/ecr/repositories/private/108782052779/cdk-hnb659fds-container-assets-108782052779-us-west-2?region=us-west-2,1769783689.644,{'uri': '108782052779.dkr.ecr.us-west-2.amazonaws.com/cdk-hnb659fds-container-assets-108782052779-us-west-2'},cdk-hnb659fds-container-assets-108782052779-us-west-2,ecr_repository,cdk-hnb659fds-container-assets-108782052779-us-west-2,False,False,us-west-2,ECR,ACTIVE,0,[],completely_untagged,{}
arn:aws:ecr:us-west-2:108782052779:repository/terrarium-dev-api,False,https://us-west-2.console.aws.amazon.com/ecr/repositories/private/108782052779/terrarium-dev-api?region=us-west-2,1770266693.578,{'uri': '108782052779.dkr.ecr.us-west-2.amazonaws.com/terrarium-dev-api'},terrarium-dev-api,ecr_repository,terrarium-dev-api,False,True,us-west-2,ECR,ACTIVE,2,"['Environment', 'Project']",missing_cluster_or_stack,"{'Environment': 'dev', 'Project': 'terrarium'}"
arn:aws:ecr:us-west-2:108782052779:repository/terrarium-prod-api,False,https://us-west-2.console.aws.amazon.com/ecr/repositories/private/108782052779/terrarium-prod-api?region=us-west-2,1770833491.175,{'uri': '108782052779.dkr.ecr.us-west-2.amazonaws.com/terrarium-prod-api'},terrarium-prod-api,ecr_repository,terrarium-prod-api,False,True,us-west-2,ECR,ACTIVE,2,"['Environment', 'Project']",missing_cluster_or_stack,"{'Environment': 'prod', 'Project': 'terrarium'}"
arn:aws:ecr:us-west-2:108782052779:repository/terrarium-dev-web,False,https://us-west-2.console.aws.amazon.com/ecr/repositories/private/108782052779/terrarium-dev-web?region=us-west-2,1775179088.402,{'uri': '108782052779.dkr.ecr.us-west-2.amazonaws.com/terrarium-dev-web'},terrarium-dev-web,ecr_repository,terrarium-dev-web,False,True,us-west-2,ECR,ACTIVE,2,"['Environment', 'Project']",missing_cluster_or_stack,"{'Environment': 'dev', 'Project': 'terrarium'}"
arn:aws:ecr:us-west-2:108782052779:repository/aquarium-dev-tailscale-sidecar,False,https://us-west-2.console.aws.amazon.com/ecr/repositories/private/108782052779/aquarium-dev-tailscale-sidecar?region=us-west-2,1777416370.368,{'uri': '108782052779.dkr.ecr.us-west-2.amazonaws.com/aquarium-dev-tailscale-sidecar'},aquarium-dev-tailscale-sidecar,ecr_repository,aquarium-dev-tailscale-sidecar,False,True,us-west-2,ECR,ACTIVE,2,"['Environment', 'Project']",missing_cluster_or_stack,"{'Environment': 'dev', 'Project': 'aquarium'}"
arn:aws:ecr:us-west-2:108782052779:repository/aquarium-dev-web,False,https://us-west-2.console.aws.amazon.com/ecr/repositories/private/108782052779/aquarium-dev-web?region=us-west-2,1777416370.393,{'uri': '108782052779.dkr.ecr.us-west-2.amazonaws.com/aquarium-dev-web'},aquarium-dev-web,ecr_repository,aquarium-dev-web,False,True,us-west-2,ECR,ACTIVE,2,"['Environment', 'Project']",missing_cluster_or_stack,"{'Environment': 'dev', 'Project': 'aquarium'}"
arn:aws:ecr:us-west-2:108782052779:repository/aquarium-dev-api,False,https://us-west-2.console.aws.amazon.com/ecr/repositories/private/108782052779/aquarium-dev-api?region=us-west-2,1777416370.409,{'uri': '108782052779.dkr.ecr.us-west-2.amazonaws.com/aquarium-dev-api'},aquarium-dev-api,ecr_repository,aquarium-dev-api,False,True,us-west-2,ECR,ACTIVE,2,"['Environment', 'Project']",missing_cluster_or_stack,"{'Environment': 'dev', 'Project': 'aquarium'}"
arn:aws:ecr:us-west-2:108782052779:repository/dayhoff/lsmcq7,False,https://us-west-2.console.aws.amazon.com/ecr/repositories/private/108782052779/dayhoff%2Flsmcq7?region=us-west-2,1778700143.421,{'uri': '108782052779.dkr.ecr.us-west-2.amazonaws.com/dayhoff/lsmcq7'},dayhoff/lsmcq7,ecr_repository,dayhoff/lsmcq7,False,True,us-west-2,ECR,ACTIVE,9,"['CostCenter', 'Environment', 'Owner', 'Project', 'System', 'dayhoff-lock', 'dayhoff-user', 'lsmc-cost-center', 'lsmc-project']",missing_cluster_or_stack,"{'CostCenter': 'platform', 'Environment': 'lsmcq7', 'Owner': 'platform', 'Project': 'LSMC', 'System': 'dayhoff', 'dayhoff-lock': 'false', 'dayhoff-user': 'ubuntu', 'lsmc-cost-center': 'platform', 'lsmc-project': 'dayhoff+us-west-2'}"
