time_start,time_end,estimated,amount_usd,service,tag_lsmc_project,tag_lsmc_project_value
2026-05-01,2026-06-01,False,23.3607457043,Amazon Elastic Compute Cloud - Compute,lsmc-project$dayhoff+us-east-1,dayhoff+us-east-1
2026-05-01,2026-06-01,False,50.5691185039,Amazon Elastic Compute Cloud - Compute,lsmc-project$dayhoff+us-west-2,dayhoff+us-west-2
2026-05-01,2026-06-01,False,4.0907753754,Amazon Elastic Compute Cloud - Compute,lsmc-project$dayhoff-ddev80,dayhoff-ddev80
2026-05-01,2026-06-01,False,5.6567822952,Amazon Elastic Compute Cloud - Compute,lsmc-project$dayhoff-ddev81,dayhoff-ddev81
2026-05-01,2026-06-01,False,1.2907554872,Amazon Elastic Compute Cloud - Compute,lsmc-project$dayhoff-ddev89,dayhoff-ddev89
2026-05-01,2026-06-01,False,0.8031371956,Amazon Elastic Compute Cloud - Compute,lsmc-project$dayhoff-ddev92,dayhoff-ddev92
2026-05-01,2026-06-01,False,0.2988147021,Amazon Elastic Compute Cloud - Compute,lsmc-project$dayhoff-ddev94,dayhoff-ddev94
2026-05-01,2026-06-01,False,2.8587788242,Amazon Elastic Compute Cloud - Compute,lsmc-project$dayhoff-ddev96,dayhoff-ddev96
2026-05-01,2026-06-01,False,7.8835306094,Amazon Elastic Compute Cloud - Compute,lsmc-project$dayhoff-inf10,dayhoff-inf10
2026-05-01,2026-06-01,False,6.6856707949,Amazon Elastic Compute Cloud - Compute,lsmc-project$dayhoff-inf11,dayhoff-inf11
2026-05-01,2026-06-01,False,8.1933791093,Amazon Elastic Compute Cloud - Compute,lsmc-project$dayhoff-inf9,dayhoff-inf9
2026-05-01,2026-06-01,False,55.1299283869,Amazon Elastic Container Service,lsmc-project$,
2026-05-01,2026-06-01,False,7.24317e-05,Amazon Elastic File System,lsmc-project$,
2026-05-01,2026-06-01,False,23.2516283305,Amazon Elastic Load Balancing,lsmc-project$,
