time_start,time_end,estimated,amount_usd,service,tag_project,tag_project_value
2026-06-01,2026-06-19,True,0.0,Amazon Cognito,project$,
2026-06-01,2026-06-19,True,0.0,Amazon Cognito,project$dayhoff-all,dayhoff-all
2026-06-01,2026-06-19,True,0.0197639272,Amazon DynamoDB,project$,
2026-06-01,2026-06-19,True,3.5944261358,Amazon EC2 Container Registry (ECR),project$,
2026-06-01,2026-06-19,True,473.9309022342,EC2 - Other,project$,
2026-06-01,2026-06-19,True,84.5082690266,EC2 - Other,project$dayhoff-all,dayhoff-all
2026-06-01,2026-06-19,True,11571.909303492,Amazon Elastic Compute Cloud - Compute,project$,
2026-06-01,2026-06-19,True,586.4431081999,Amazon Elastic Compute Cloud - Compute,project$dayhoff-all,dayhoff-all
2026-06-01,2026-06-19,True,31.285903183,Amazon Elastic Container Service,project$,
2026-06-01,2026-06-19,True,5.24745e-05,Amazon Elastic File System,project$,
2026-06-01,2026-06-19,True,10.7509592812,Amazon Elastic Load Balancing,project$,
2026-06-01,2026-06-19,True,8.2575,Amazon Elastic Load Balancing,project$dayhoff-all,dayhoff-all
2026-06-01,2026-06-19,True,1134.6341404544,Amazon FSx,project$,
2026-06-01,2026-06-19,True,1.8058e-06,Amazon Glacier,project$,
2026-06-01,2026-06-19,True,7.0660311593,Amazon GuardDuty,project$,
2026-06-01,2026-06-19,True,0.0,Amazon Inspector,project$,
2026-06-01,2026-06-19,True,1394.358905681,Amazon Relational Database Service,project$,
2026-06-01,2026-06-19,True,1182.6803650537,Amazon Relational Database Service,project$dayhoff-all,dayhoff-all
2026-06-01,2026-06-19,True,13.1373672,Amazon Route 53,project$,
2026-06-01,2026-06-19,True,2.6115e-06,Amazon Simple Notification Service,project$,
2026-06-01,2026-06-19,True,0.0,Amazon Simple Queue Service,project$,
2026-06-01,2026-06-19,True,3890.9782625577,Amazon Simple Storage Service,project$,
2026-06-01,2026-06-19,True,78.7323503523,Amazon Virtual Private Cloud,project$,
2026-06-01,2026-06-19,True,12.845,Amazon Virtual Private Cloud,project$dayhoff-all,dayhoff-all
2026-06-01,2026-06-19,True,129.3901835537,AmazonCloudWatch,project$,
2026-06-01,2026-06-19,True,0.0,CloudWatch Events,project$,
2026-06-01,2026-06-19,True,0.0,Tax,project$,
